id,xcoord,ycoord,venueSize,gigName,locationName,billing,headlineArtist,date,year,month,day,time
0,-3.939,51.627,-1,"Electric Six with LITTLE NIKITA and Kasabian at Patti Pavilion (September 5, 2003)","Swansea, UK",,,2003-09-05,2003,9,5,null
1,-2.593,51.453,1601,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Academy Bristol (November 16, 2003)","Bristol, UK",,,2003-11-16,2003,11,16,null
2,1.2490275,52.62884,1500,"The Cooper Temple Clause with Kasabian and The Raveonettes at Norwich UEA LCR (November 17, 2003)","Norwich, UK",,,2003-11-17,2003,11,17,null
3,-1.0919461,50.780563,-1,"The Cooper Temple Clause with Kasabian and The Raveonettes at Pyramids Centre (November 21, 2003)","Portsmouth, UK",,,2003-11-21,2003,11,21,null
4,-0.2238407,51.503506,2000,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Shepherd's Bush Empire (November 22, 2003)","London, UK",,,2003-11-22,2003,11,22,null
5,-1.8998971,52.474327,3000,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Academy Birmingham (November 23, 2003)","Birmingham, UK",,,2003-11-23,2003,11,23,null
6,-1.5487168,53.802944,-1,"The Cooper Temple Clause with Kasabian and The Raveonettes at Leeds Metropolitan University, Student Union (November 24, 2003)","Leeds, UK",,,2003-11-24,2003,11,24,null
7,-0.0884474,51.52857,-1,"Kasabian with The Koreans at Fortress Studio (November 28, 2003)","London, UK",,,2003-11-28,2003,11,28,null
8,1.2878587,52.631435,290,"Chikinki and Kasabian at Norwich Arts Centre (January 19, 2004)","Norwich, UK",,,2004-01-19,2004,1,19,null
9,0.19,52.176,-1,"Kasabian and Chikinki at The Boat Race (January 20, 2004)","Cambridge, UK",,,2004-01-20,2004,1,20,null
10,-0.8904272,52.242805,-1,"Chikinki and Kasabian at The Soundhaus (January 21, 2004)","Northampton, UK",,,2004-01-21,2004,1,21,null
11,-3.10472,51.0211,-1,"Kasabian at Mamba (January 22, 2004)","Taunton, UK",,,2004-01-22,2004,1,22,null
